Timestamp,Average High Price,Average Low Price,High Price Volume,Low Price Volume
2024-10-29 02:00:00,1320009,1305436,269,396
2024-10-29 08:00:00,1322347,1306783,556,498
2024-10-29 14:00:00,1308978,1295014,605,952
2024-10-29 20:00:00,1295868,1280135,916,895
2024-10-30 02:00:00,1302255,1286334,325,331
2024-10-30 08:00:00,1302968,1286975,565,406
2024-10-30 14:00:00,1298137,1283559,768,856
2024-10-30 20:00:00,1296149,1283540,758,639
2024-10-31 02:00:00,1302471,1290696,308,388
2024-10-31 08:00:00,1307452,1294938,628,635
2024-10-31 14:00:00,1316915,1302340,1021,1093
2024-10-31 20:00:00,1314380,1298817,651,1108
2024-11-01 02:00:00,1305613,1295276,371,283
2024-11-01 08:00:00,1305755,1293372,444,587
2024-11-01 14:00:00,1313898,1300109,958,881
2024-11-01 20:00:00,1313223,1302863,883,737
2024-11-02 02:00:00,1309157,1298689,450,374
2024-11-02 08:00:00,1307265,1295510,563,705
2024-11-02 14:00:00,1308030,1293254,818,966
2024-11-02 20:00:00,1305717,1292309,577,934
2024-11-03 01:00:00,1303909,1289526,420,435
2024-11-03 07:00:00,1302936,1290300,596,599
2024-11-03 13:00:00,1302549,1288303,986,996
2024-11-03 19:00:00,1303346,1288424,879,914
2024-11-04 01:00:00,1305457,1291368,552,374
2024-11-04 07:00:00,1309036,1296610,498,627
2024-11-04 13:00:00,1311158,1299698,766,1134
2024-11-04 19:00:00,1343871,1325309,964,938
2024-11-05 01:00:00,1324320,1307728,402,469
2024-11-05 07:00:00,1323801,1312187,506,482
2024-11-05 13:00:00,1325992,1313996,1009,787
2024-11-05 19:00:00,1323666,1313153,571,719
2024-11-06 01:00:00,1321869,1310909,376,409
2024-11-06 07:00:00,1323641,1308881,444,515
2024-11-06 13:00:00,1317054,1300711,783,1016
2024-11-06 19:00:00,1302864,1288151,798,669
2024-11-07 01:00:00,1311565,1300377,365,298
2024-11-07 07:00:00,1306930,1292162,565,461
2024-11-07 13:00:00,1305837,1291961,748,818
2024-11-07 19:00:00,1301162,1285114,571,922
2024-11-08 01:00:00,1300540,1282852,483,349
2024-11-08 07:00:00,1295381,1281689,524,530
2024-11-08 13:00:00,1298884,1281980,945,878
2024-11-08 19:00:00,1296405,1281173,898,731
2024-11-09 01:00:00,1297382,1281477,539,454
2024-11-09 07:00:00,1291989,1279498,747,664
2024-11-09 13:00:00,1290183,1275817,1082,1057
2024-11-09 19:00:00,1293372,1279668,879,916
2024-11-10 01:00:00,1294221,1279261,379,467
2024-11-10 07:00:00,1270058,1262852,821,894
2024-11-10 13:00:00,1269761,1252594,1247,1402
2024-11-10 19:00:00,1273099,1256593,1042,1033
2024-11-11 01:00:00,1273359,1258818,409,534
2024-11-11 07:00:00,1277420,1263782,597,520
2024-11-11 13:00:00,1270710,1261132,836,1039
2024-11-11 19:00:00,1271555,1259620,788,880
2024-11-12 01:00:00,1268021,1254646,292,501
2024-11-12 07:00:00,1265507,1241923,465,1105
2024-11-12 13:00:00,1255586,1238447,963,917
2024-11-12 19:00:00,1219640,1214646,786,701
2024-11-13 01:00:00,1249014,1235344,283,422
2024-11-13 07:00:00,1250333,1234495,462,603
2024-11-13 13:00:00,1242859,1223962,811,1075
2024-11-13 19:00:00,1240136,1227344,850,700
2024-11-14 01:00:00,1239752,1225372,326,336
2024-11-14 07:00:00,1234885,1222604,496,470
2024-11-14 13:00:00,1234164,1218282,761,851
2024-11-14 19:00:00,1231780,1216370,738,683
2024-11-15 01:00:00,1232331,1219009,388,424
2024-11-15 07:00:00,1235755,1226823,288,593
2024-11-15 13:00:00,1252668,1241266,732,916
2024-11-15 19:00:00,1259411,1240903,645,905
2024-11-16 01:00:00,1253467,1235780,487,488
2024-11-16 07:00:00,1231450,1225535,396,579
2024-11-16 13:00:00,1241814,1228260,933,899
2024-11-16 19:00:00,1245860,1230948,854,827
2024-11-17 01:00:00,1241664,1229435,492,573
2024-11-17 07:00:00,1246359,1233612,844,776
2024-11-17 13:00:00,1248894,1238103,944,1555
2024-11-17 19:00:00,1238871,1226739,886,1408
2024-11-18 01:00:00,1238011,1224635,524,493
2024-11-18 07:00:00,1235234,1222248,533,528
2024-11-18 13:00:00,1231629,1217866,803,890
2024-11-18 19:00:00,1229944,1214803,823,756
2024-11-19 01:00:00,1233065,1221200,439,386
2024-11-19 07:00:00,1231218,1219156,385,458
2024-11-19 13:00:00,1229589,1221793,612,670
2024-11-19 19:00:00,1227288,1215301,559,785
2024-11-20 01:00:00,1225726,1212832,219,386
2024-11-20 13:00:00,1215042,1196327,821,896
2024-11-20 19:00:00,1218877,1204886,846,789
2024-11-21 01:00:00,1220972,1208746,398,448
2024-11-21 07:00:00,1216724,1203376,461,588
2024-11-21 13:00:00,1210725,1199042,785,860
2024-11-21 19:00:00,1215566,1202396,749,634
2024-11-22 01:00:00,1215862,1203751,438,449
2024-11-22 07:00:00,1213071,1202283,425,452
2024-11-22 13:00:00,1213782,1202654,880,678
2024-11-22 19:00:00,1209062,1200670,713,644
2024-11-23 01:00:00,1216236,1201400,500,539
2024-11-23 07:00:00,1211410,1199925,595,539
2024-11-23 13:00:00,1215220,1201488,1442,1089
2024-11-23 19:00:00,1211048,1200298,732,976
2024-11-24 01:00:00,1219744,1208166,495,489
2024-11-24 07:00:00,1221465,1210563,733,719
2024-11-24 13:00:00,1222412,1209345,1033,1115
2024-11-24 19:00:00,1238210,1224095,724,901
2024-11-25 01:00:00,1227539,1212604,307,347
2024-11-25 07:00:00,1248555,1238745,452,629
2024-11-25 13:00:00,1243321,1231815,765,922
2024-11-25 19:00:00,1225582,1211935,890,877
2024-11-26 01:00:00,1222256,1210827,269,474
2024-11-26 07:00:00,1224074,1210219,542,555
2024-11-26 13:00:00,1220716,1207783,731,900
2024-11-26 19:00:00,1220178,1205735,541,848
2024-11-27 01:00:00,1225815,1210073,357,543
2024-11-27 13:00:00,1225891,1212399,534,530
2024-11-27 19:00:00,1228960,1217898,469,526
2024-11-28 01:00:00,1230606,1220987,293,225
2024-11-28 07:00:00,1244575,1234389,265,403
2024-11-28 13:00:00,1268947,1251215,482,553
2024-11-28 19:00:00,1279382,1258335,497,663
2024-11-29 01:00:00,1266304,1253238,268,470
2024-11-29 07:00:00,1267059,1252606,304,394
2024-11-29 13:00:00,1259297,1245016,675,610
2024-11-29 19:00:00,1253647,1239373,492,578
2024-11-30 01:00:00,1286986,1267131,450,384
2024-11-30 07:00:00,1272996,1263979,372,509
2024-11-30 13:00:00,1250897,1236767,539,635
2024-11-30 19:00:00,1252659,1238503,371,577
2024-12-01 01:00:00,1252409,1236726,293,278
2024-12-01 07:00:00,1246245,1232269,405,356
2024-12-01 13:00:00,1248957,1234802,764,788
2024-12-01 19:00:00,1246574,1234132,517,520
2024-12-02 01:00:00,1249803,1235447,335,305
2024-12-02 07:00:00,1244059,1233673,327,333
2024-12-02 13:00:00,1240412,1233718,702,632
2024-12-02 19:00:00,1245511,1230766,526,462
2024-12-03 01:00:00,1245568,1231985,178,204
2024-12-03 07:00:00,1246714,1233081,285,359
2024-12-03 13:00:00,1241437,1225887,498,724
2024-12-03 19:00:00,1242501,1229297,489,495
2024-12-04 01:00:00,1252337,1240186,233,276
2024-12-04 07:00:00,1256818,1237327,484,369
2024-12-04 13:00:00,1259066,1243316,531,492
2024-12-04 19:00:00,1278274,1260280,547,504
2024-12-05 01:00:00,1311779,1290153,322,281
2024-12-05 07:00:00,1335651,1316710,406,311
2024-12-05 13:00:00,1335986,1319504,597,671
2024-12-05 19:00:00,1327210,1310105,753,631
2024-12-06 01:00:00,1336836,1316046,347,286
2024-12-06 07:00:00,1347751,1333112,330,389
2024-12-06 13:00:00,1332616,1317006,435,518
2024-12-06 19:00:00,1318026,1301044,649,584
2024-12-07 01:00:00,1317317,1297808,338,298
2024-12-07 07:00:00,1328922,1312575,376,382
2024-12-07 13:00:00,1319458,1308886,517,659
2024-12-07 19:00:00,1306883,1288036,753,931
2024-12-08 01:00:00,1301413,1282465,324,355
2024-12-08 07:00:00,1298828,1284451,351,518
2024-12-08 13:00:00,1301828,1283053,781,688
2024-12-08 19:00:00,1290770,1274566,599,892
2024-12-09 01:00:00,1303265,1284814,331,270
2024-12-09 07:00:00,1298989,1282216,385,430
2024-12-09 13:00:00,1295864,1276662,644,746
2024-12-09 19:00:00,1282907,1270368,506,665
2024-12-10 01:00:00,1270453,1257144,318,259
2024-12-10 13:00:00,1282739,1263675,798,648
2024-12-10 19:00:00,1282059,1261788,607,629
2024-12-11 01:00:00,1278387,1258310,347,329
2024-12-11 07:00:00,1285402,1267805,438,408
2024-12-11 13:00:00,1283699,1261108,623,535
2024-12-11 19:00:00,1277121,1261762,458,616
2024-12-12 01:00:00,1305120,1288340,260,268
2024-12-12 07:00:00,1296207,1278724,418,501
2024-12-12 13:00:00,1307959,1288226,506,653
2024-12-12 19:00:00,1320617,1300491,588,761
2024-12-13 01:00:00,1333818,1308994,220,386
2024-12-13 07:00:00,1358890,1341837,392,398
2024-12-13 13:00:00,1380176,1361135,645,677
2024-12-13 19:00:00,1380590,1353487,541,1072
2024-12-14 01:00:00,1359666,1336538,333,329
2024-12-14 07:00:00,1347817,1318371,580,436
2024-12-14 13:00:00,1390460,1372582,855,1003
2024-12-14 19:00:00,1360479,1341361,632,854
2024-12-15 01:00:00,1355443,1333676,321,398
2024-12-15 07:00:00,1359442,1338795,356,387
2024-12-15 13:00:00,1361094,1344877,784,815
2024-12-15 19:00:00,1356601,1338384,469,639
2024-12-16 01:00:00,1349783,1339402,147,259
2024-12-16 07:00:00,1339829,1320619,293,329
2024-12-16 13:00:00,1347378,1329747,499,767
2024-12-16 19:00:00,1336281,1323615,482,710
2024-12-17 01:00:00,1331406,1318459,315,304
2024-12-17 07:00:00,1340845,1324477,372,283
2024-12-17 13:00:00,1312798,1301003,768,660
2024-12-17 19:00:00,1318023,1299565,917,489
2024-12-18 01:00:00,1313056,1300935,255,373
2024-12-18 07:00:00,1310849,1296864,447,382
2024-12-18 13:00:00,1328680,1313059,597,645
2024-12-18 19:00:00,1376007,1354880,376,616
2024-12-19 01:00:00,1336873,1325716,233,293
2024-12-19 07:00:00,1371599,1355405,397,527
2024-12-19 13:00:00,1381964,1364883,771,777
2024-12-19 19:00:00,1359673,1331959,594,1401
2024-12-20 01:00:00,1363810,1348756,394,331
2024-12-20 07:00:00,1361699,1342551,541,530
2024-12-20 13:00:00,1385053,1367638,897,778
2024-12-20 19:00:00,1381507,1363719,706,935
2024-12-21 01:00:00,1434520,1416583,405,516
2024-12-21 07:00:00,1434271,1414212,421,581
2024-12-21 13:00:00,1431938,1413093,718,1443
2024-12-21 19:00:00,1421656,1403697,446,1168
2024-12-22 01:00:00,1390386,1370256,364,315
2024-12-22 07:00:00,1410531,1392131,593,514
2024-12-22 13:00:00,1411116,1395913,828,1090
2024-12-22 19:00:00,1405405,1389269,821,708
2024-12-23 01:00:00,1399212,1383470,389,475
2024-12-23 07:00:00,1396417,1377761,414,428
2024-12-23 13:00:00,1394627,1377419,854,886
2024-12-23 19:00:00,1398514,1380983,722,964
2024-12-24 01:00:00,1405764,1389667,552,400
2024-12-24 07:00:00,1400193,1380897,578,445
2024-12-24 13:00:00,1393050,1375136,824,903
2024-12-24 19:00:00,1417527,1395275,1115,1239
2024-12-25 01:00:00,1401306,1385582,438,362
2024-12-25 07:00:00,1416397,1390509,604,458
2024-12-25 13:00:00,1412387,1393739,828,770
2024-12-25 19:00:00,1418777,1400269,1357,1241
2024-12-26 01:00:00,1398430,1381381,480,386
2024-12-26 07:00:00,1397870,1385305,384,494
2024-12-26 13:00:00,1407534,1391501,938,832
2024-12-26 19:00:00,1418859,1401431,808,709
2024-12-27 01:00:00,1406449,1392815,398,271
2024-12-27 07:00:00,1403603,1386544,515,513
2024-12-27 13:00:00,1403675,1390224,550,816
2024-12-27 19:00:00,1417215,1407591,711,917
2024-12-28 01:00:00,1411413,1402719,346,482
2024-12-28 07:00:00,1408590,1397253,559,566
2024-12-28 13:00:00,1437637,1419437,837,1092
2024-12-28 19:00:00,1441890,1421671,958,1136
2024-12-29 01:00:00,1442609,1427034,444,551
2024-12-29 07:00:00,1440860,1425251,559,569
2024-12-29 13:00:00,1452592,1434338,995,1351
2024-12-29 19:00:00,1446184,1428016,631,963
2024-12-30 01:00:00,1441033,1424912,439,469
2024-12-30 07:00:00,1430315,1417922,609,407
2024-12-30 13:00:00,1459447,1436687,773,1234
2024-12-30 19:00:00,1423694,1405245,984,1065
2024-12-31 01:00:00,1406172,1386031,387,390
2024-12-31 07:00:00,1390423,1376856,480,500
2024-12-31 13:00:00,1403764,1381023,585,810
2024-12-31 19:00:00,1414004,1394863,753,776
2025-01-01 01:00:00,1422304,1401555,439,437
2025-01-01 07:00:00,1421475,1404645,365,471
